x	y
7.784279	-2.9154408
7.784279	-3.142574
7.784279	-3.3697073
7.784279	-3.5968406
7.784279	-3.8239737
7.784279	-4.051107
7.784279	-4.27824
7.784279	-4.5053754
7.784279	-4.732446
7.784279	-4.9596395
8.009911	5.0342207
8.009911	4.807027
8.009911	4.5799565
8.009911	4.3528214
8.009911	4.1256876
8.009911	3.8985548
8.009911	3.6714215
8.009911	3.4442883
8.009911	3.2171552
8.009911	2.990022
8.009911	2.7628887
8.009911	2.5357556
8.009911	2.3086224
8.009911	2.081489
8.009911	1.8543559
8.009911	1.6272228
8.009911	1.4000896
8.009911	1.1729565
8.009911	0.94582325
8.009911	0.7186901
8.009911	0.49155688
8.009911	0.2644237
8.009911	0.037290525
8.009911	-0.18984266
8.009911	-0.41697583
8.009911	-0.6441091
8.009911	-0.8712422
8.009911	-1.0983754
8.009911	-1.3255086
8.009911	-1.5526417
8.009911	-1.7797749
8.009911	-2.0069082
8.009911	-2.2340415
8.009911	-2.4611745
8.009911	-2.6883078
8.009911	-2.9154408
8.009911	-3.142574
8.009911	-3.3697073
8.009911	-3.5968406
8.009911	-3.8239737
8.009911	-4.051107
8.009911	-4.27824
8.009911	-4.5053754
8.009911	-4.732446
8.009911	-4.9596395
8.23554	5.0342207
8.23554	4.807027
8.23554	4.5799565
8.23554	4.3528214
8.23554	4.1256876
8.23554	3.8985548
8.23554	3.6714215
8.23554	3.4442883
8.23554	3.2171552
8.23554	2.990022
8.23554	2.7628887
8.23554	2.5357556
8.23554	2.3086224
8.23554	2.081489
8.23554	1.8543559
8.23554	1.6272228
8.23554	1.4000896
8.23554	1.1729565
8.23554	0.94582325
8.23554	0.7186901
8.23554	0.49155688
8.23554	0.2644237
8.23554	0.037290525
8.23554	-0.18984266
8.23554	-0.41697583
8.23554	-0.6441091
8.23554	-0.8712422
8.23554	-1.0983754
8.23554	-1.3255086
8.23554	-1.5526417
8.23554	-1.7797749
8.23554	-2.0069082
8.23554	-2.2340415
8.23554	-2.4611745
8.23554	-2.6883078
8.23554	-2.9154408
8.23554	-3.142574
8.23554	-3.3697073
8.23554	-3.5968406
8.23554	-3.8239737
8.23554	-4.051107
8.23554	-4.27824
8.23554	-4.5053754
8.23554	-4.732446
8.23554	-4.9596395
8.461174	5.0342207
8.461174	4.807027
8.461174	4.5799565
8.461174	4.3528214
8.461174	4.1256876
8.461174	3.8985548
8.461174	3.6714215
8.461174	3.4442883
8.461174	3.2171552
8.461174	2.990022
8.461174	2.7628887
8.461174	2.5357556
8.461174	2.3086224
8.461174	2.081489
8.461174	1.8543559
8.461174	1.6272228
8.461174	1.4000896
8.461174	1.1729565
8.461174	0.94582325
8.461174	0.7186901
8.461174	0.49155688
8.461174	0.2644237
8.461174	0.037290525
8.461174	-0.18984266
8.461174	-0.41697583
8.461174	-0.6441091
8.461174	-0.8712422
8.461174	-1.0983754
8.461174	-1.3255086
8.461174	-1.5526417
8.461174	-1.7797749
8.461174	-2.0069082
8.461174	-2.2340415
8.461174	-2.4611745
8.461174	-2.6883078
8.461174	-2.9154408
8.461174	-3.142574
8.461174	-3.3697073
8.461174	-3.5968406
8.461174	-3.8239737
8.461174	-4.051107
8.461174	-4.27824
8.461174	-4.5053754
8.461174	-4.732446
8.461174	-4.9596395
8.6867695	5.0342207
8.6867695	4.807027
8.6867695	4.5799565
8.6867695	4.3528214
8.6867695	4.1256876
8.6867695	3.8985548
8.6867695	3.6714215
8.6867695	3.4442883
8.6867695	3.2171552
8.6867695	2.990022
8.6867695	2.7628887
8.6867695	2.5357556
8.6867695	2.3086224
8.6867695	2.081489
8.6867695	1.8543559
8.6867695	1.6272228
8.6867695	1.4000896
8.6867695	1.1729565
8.6867695	0.94582325
8.6867695	0.7186901
8.6867695	0.49155688
8.6867695	0.2644237
8.6867695	0.037290525
8.6867695	-0.18984266
8.6867695	-0.41697583
8.6867695	-0.6441091
8.6867695	-0.8712422
8.6867695	-1.0983754
8.6867695	-1.3255086
8.6867695	-1.5526417
8.6867695	-1.7797749
8.6867695	-2.0069082
8.6867695	-2.2340415
8.6867695	-2.4611745
8.6867695	-2.6883078
8.6867695	-2.9154408
8.6867695	-3.142574
8.6867695	-3.3697073
8.6867695	-3.5968406
8.6867695	-3.8239737
8.6867695	-4.051107
8.6867695	-4.27824
8.6867695	-4.5053754
8.6867695	-4.732446
8.6867695	-4.9596395
8.912435	5.0342207
8.912435	4.807027
8.912435	4.5799565
8.912435	4.3528214
8.912435	4.1256876
8.912435	3.8985548
8.912435	3.6714215
8.912435	3.4442883
8.912435	3.2171552
8.912435	2.990022
8.912435	2.7628887
8.912435	2.5357556
8.912435	2.3086224
8.912435	2.081489
8.912435	1.8543559
8.912435	1.6272228
8.912435	1.4000896
8.912435	1.1729565
8.912435	0.94582325
8.912435	0.7186901
8.912435	0.49155688
8.912435	0.2644237
8.912435	0.037290525
8.912435	-0.18984266
8.912435	-0.41697583
8.912435	-0.6441091
8.912435	-0.8712422
8.912435	-1.0983754
8.912435	-1.3255086
8.912435	-1.5526417
8.912435	-1.7797749
8.912435	-2.0069082
8.912435	-2.2340415
8.912435	-2.4611745
8.912435	-2.6883078
8.912435	-2.9154408
8.912435	-3.142574
8.912435	-3.3697073
8.912435	-3.5968406
8.912435	-3.8239737
8.912435	-4.051107
8.912435	-4.27824
8.912435	-4.5053754
8.912435	-4.732446
8.912435	-4.9596395
